epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.7441,0.80012,0.48253,0.7914,0.92241,0.91542,0.9649,0.78181,0.72254,0.46727,0.79195,0.0677021,0.000326241,0.000326241
2,212.965,0.80078,0.48228,0.79287,0.86726,0.8668,0.93439,0.74794,0.7338,0.62858,0.7921,0.0346956,0.000653045,0.000653045
3,316.186,0.84043,0.49318,0.79539,0.9198,0.91273,0.96501,0.73136,0.85786,0.52289,0.79474,0.00168247,0.000973248,0.000973248
4,413.226,0.81529,0.47756,0.79556,0.90906,0.90326,0.96243,0.77656,0.74599,0.51779,0.79218,0.0009703,0.0009703,0.0009703
5,528.836,0.80897,0.48094,0.79397,0.93143,0.92193,0.97074,0.78821,0.72498,0.46934,0.78971,0.0009604,0.0009604,0.0009604
6,642.554,0.82024,0.49175,0.79293,0.93419,0.91104,0.96873,0.77526,0.75131,0.48158,0.79051,0.0009505,0.0009505,0.0009505
7,751.897,0.82363,0.49466,0.79415,0.92175,0.91094,0.9696,0.79417,0.70025,0.48506,0.78997,0.0009406,0.0009406,0.0009406
8,863.845,0.84042,0.50066,0.79632,0.93143,0.92199,0.97263,0.7987,0.7015,0.46534,0.79011,0.0009307,0.0009307,0.0009307
9,973.104,0.84452,0.49107,0.79591,0.93289,0.92339,0.9722,0.7911,0.7215,0.46311,0.79042,0.0009208,0.0009208,0.0009208
10,1079.46,0.82019,0.48046,0.79591,0.93439,0.91418,0.96968,0.77873,0.74775,0.46649,0.79349,0.0009109,0.0009109,0.0009109
11,1188.36,0.81553,0.48445,0.79433,0.93089,0.91696,0.97142,0.78666,0.73989,0.46853,0.79241,0.000901,0.000901,0.000901
12,1299.32,0.81281,0.48321,0.7936,0.93259,0.91601,0.97185,0.78772,0.73675,0.46491,0.78897,0.0008911,0.0008911,0.0008911
