epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.5918,4.5365,7.75332,2.01409,0,0,0,0,3.71435,3.96785,1.41765,0.067539,0.000163121,0.000163121
2,161.816,2.4969,1.69967,1.1654,0.17299,0.05527,0.09974,0.02493,3.75673,4.03012,1.41195,0.0343691,0.000326522,0.000326522
3,272.98,2.16535,1.36767,1.04939,0.80882,0.49359,0.66349,0.26671,2.10757,1.92646,1.03677,0.00119584,0.000486624,0.000486624
4,391.091,2.01017,1.20951,1.00634,0.8534,0.6449,0.69793,0.32801,1.86554,1.08751,0.97156,0.00048515,0.00048515,0.00048515
5,518.468,1.9146,1.1082,0.97524,0.69902,0.67925,0.60583,0.28833,1.7652,1.11436,0.94551,0.0004802,0.0004802,0.0004802
6,641.851,1.84912,1.04702,0.95129,0.85145,0.81924,0.87259,0.46245,1.61465,0.94492,0.92495,0.00047525,0.00047525,0.00047525
7,756.393,1.77457,1.00343,0.93895,0.87593,0.82849,0.89506,0.49187,1.53533,0.9096,0.9096,0.0004703,0.0004703,0.0004703
8,875.162,1.74402,0.98022,0.93225,0.87998,0.82831,0.89952,0.4646,1.67486,0.94354,0.91124,0.00046535,0.00046535,0.00046535
9,986.437,1.69861,0.95112,0.92189,0.88024,0.83624,0.90317,0.4895,1.56643,0.89887,0.90007,0.0004604,0.0004604,0.0004604
10,1097.58,1.65724,0.92416,0.91451,0.86905,0.82518,0.89913,0.49778,1.51132,0.89523,0.89166,0.00045545,0.00045545,0.00045545
11,1222.09,1.60068,0.89798,0.90263,0.89856,0.85041,0.92301,0.54677,1.39412,0.8235,0.87915,0.0004505,0.0004505,0.0004505
12,1340.79,1.57951,0.89075,0.89765,0.90538,0.85631,0.92567,0.51979,1.48175,0.83111,0.87888,0.00044555,0.00044555,0.00044555
13,1456.46,1.56638,0.87543,0.89612,0.90944,0.8563,0.92829,0.56478,1.35057,0.80407,0.8707,0.0004406,0.0004406,0.0004406
14,1558.34,1.52668,0.85409,0.89008,0.90581,0.8573,0.92971,0.54883,1.39752,0.81937,0.86898,0.00043565,0.00043565,0.00043565
15,1666.01,1.49739,0.84553,0.8847,0.90787,0.86988,0.93843,0.56522,1.33658,0.77907,0.86712,0.0004307,0.0004307,0.0004307
16,1778.82,1.48543,0.83028,0.88118,0.90712,0.86604,0.93756,0.57045,1.3458,0.77,0.86807,0.00042575,0.00042575,0.00042575
17,1974.12,1.46681,0.81435,0.8792,0.907,0.86848,0.9386,0.59181,1.26706,0.74263,0.85878,0.0004208,0.0004208,0.0004208
18,2138.39,1.42715,0.80103,0.87425,0.91022,0.8703,0.94283,0.58551,1.28583,0.73829,0.85904,0.00041585,0.00041585,0.00041585
19,2305.26,1.41503,0.79352,0.87257,0.91121,0.87819,0.94595,0.6057,1.23708,0.7188,0.85465,0.0004109,0.0004109,0.0004109
