epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.135,1.94792,1.09901,0.99782,0.80152,0.62646,0.70148,0.25184,2.17382,1.46066,1.03027,0.0677021,0.000326241,0.000326241
2,253.853,1.86074,1.00948,0.97671,0.86531,0.7431,0.8298,0.38082,1.78578,0.98282,0.96104,0.0346637,0.000621164,0.000621164
3,409.8,1.81809,0.96942,0.96457,0.85567,0.60148,0.65581,0.33431,1.61981,0.87743,0.9271,0.00158648,0.000877263,0.000877263
4,568.655,1.73248,0.92843,0.94968,0.88468,0.788,0.87802,0.46778,1.53842,0.83831,0.90992,0.000825294,0.000825294,0.000825294
5,725.673,1.62784,0.88563,0.92895,0.85812,0.80189,0.87764,0.47187,1.49009,0.815,0.89916,0.000767059,0.000767059,0.000767059
6,870.406,1.57277,0.855,0.91241,0.89088,0.80976,0.89944,0.53598,1.34285,0.76328,0.88306,0.000708824,0.000708824,0.000708824
7,1008.93,1.52789,0.82918,0.90373,0.88521,0.82421,0.90497,0.53254,1.34941,0.75255,0.87622,0.000650588,0.000650588,0.000650588
8,1174.13,1.4199,0.80401,0.90477,0.89603,0.80703,0.88877,0.53204,1.31751,0.74715,0.87171,0.000592353,0.000592353,0.000592353
9,1333.92,1.3837,0.77475,0.8959,0.88063,0.81068,0.89883,0.48344,1.49663,0.77682,0.88815,0.000534118,0.000534118,0.000534118
10,1488.21,1.30905,0.7477,0.89086,0.89835,0.83932,0.91749,0.57624,1.23266,0.7061,0.86558,0.000475882,0.000475882,0.000475882
11,1638.53,1.28865,0.72852,0.88241,0.90197,0.83176,0.91886,0.58376,1.21679,0.69676,0.86057,0.000417647,0.000417647,0.000417647
12,1783.95,1.26046,0.71734,0.87527,0.89223,0.8419,0.91947,0.56339,1.27814,0.71359,0.86121,0.000359412,0.000359412,0.000359412
