epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.443,1.17396,0.96146,0.8331,0.39421,0.98708,0.92568,0.63199,1.12452,2.31965,0.83901,0.0673511,0.000329787,0.000329787
2,312.689,1.03854,0.61026,0.81668,0.9164,0.89385,0.93497,0.70122,0.87368,0.56057,0.81486,0.0343445,0.000656556,0.000656556
3,511.396,1.01119,0.56102,0.81395,0.94693,0.95488,0.98319,0.75467,0.83492,0.48717,0.80565,0.00133133,0.000976724,0.000976724
4,681.4,0.97762,0.54084,0.81307,0.9433,0.95705,0.98369,0.77692,0.78346,0.48007,0.80268,0.0009703,0.0009703,0.0009703
5,154.002,0.94465,0.5392,0.81092,0.94063,0.94369,0.97919,0.77366,0.79006,0.49048,0.80618,0.0009604,0.0009604,0.0009604
6,307.039,0.91448,0.51102,0.80556,0.94429,0.95067,0.98056,0.79576,0.73175,0.44831,0.79986,0.0009505,0.0009505,0.0009505
7,466.132,0.90541,0.49508,0.80429,0.94666,0.95759,0.98513,0.78124,0.80251,0.45747,0.80156,0.0009406,0.0009406,0.0009406
8,614.825,0.87914,0.47816,0.80402,0.94229,0.95495,0.98352,0.78734,0.79218,0.45093,0.80309,0.0009307,0.0009307,0.0009307
9,755.831,0.93821,0.48892,0.80631,0.95322,0.96115,0.98657,0.76579,0.85884,0.45576,0.80233,0.0009208,0.0009208,0.0009208
10,892.01,0.92085,0.47918,0.80376,0.95336,0.96002,0.98575,0.80789,0.7253,0.40808,0.79974,0.0009109,0.0009109,0.0009109
11,1021.79,0.89901,0.47319,0.80158,0.95623,0.95643,0.98672,0.80564,0.73306,0.41384,0.79768,0.000901,0.000901,0.000901
12,1137.86,0.88976,0.46943,0.80297,0.94519,0.96048,0.98422,0.80636,0.71019,0.41246,0.7975,0.0008911,0.0008911,0.0008911
13,1247.32,0.84745,0.45621,0.80057,0.95514,0.95925,0.98705,0.81512,0.70395,0.4049,0.7958,0.0008812,0.0008812,0.0008812
14,1359.23,0.83595,0.45009,0.80082,0.95337,0.95847,0.98583,0.8214,0.68474,0.39198,0.79792,0.0008713,0.0008713,0.0008713
15,1489.75,0.81433,0.44349,0.7975,0.95675,0.96132,0.98735,0.82705,0.68642,0.38974,0.7958,0.0008614,0.0008614,0.0008614
16,1607.31,0.8391,0.44813,0.79911,0.95544,0.9604,0.98694,0.81935,0.68055,0.39439,0.79419,0.0008515,0.0008515,0.0008515
17,1713.64,0.84176,0.44877,0.79886,0.95803,0.95869,0.98745,0.8293,0.67178,0.38356,0.79453,0.0008416,0.0008416,0.0008416
18,1822.26,0.82076,0.44063,0.79752,0.95446,0.95905,0.98696,0.82699,0.68245,0.40043,0.79637,0.0008317,0.0008317,0.0008317
19,1924.51,0.81092,0.43317,0.79664,0.95851,0.95757,0.98733,0.83056,0.65313,0.37791,0.79363,0.0008218,0.0008218,0.0008218
20,127.911,0.80137,0.44015,0.79719,0.95546,0.95399,0.98562,0.82615,0.67914,0.3856,0.79716,0.0008119,0.0008119,0.0008119
21,249.932,0.80697,0.43298,0.79592,0.95406,0.9615,0.98721,0.82965,0.66482,0.38313,0.79477,0.000802,0.000802,0.000802
22,366.561,0.79817,0.42727,0.7965,0.95837,0.95659,0.98722,0.83527,0.66502,0.37711,0.79502,0.0007921,0.0007921,0.0007921
23,491.542,0.78802,0.42394,0.79614,0.95521,0.96141,0.98705,0.84126,0.63619,0.36452,0.79395,0.0007822,0.0007822,0.0007822
24,611.112,0.79428,0.42182,0.7956,0.958,0.95988,0.98745,0.83428,0.66318,0.3775,0.79367,0.0007723,0.0007723,0.0007723
25,740.62,0.79769,0.42347,0.79392,0.95803,0.96062,0.98733,0.82971,0.65799,0.37325,0.79371,0.0007624,0.0007624,0.0007624
26,848.235,0.79437,0.42209,0.79361,0.96063,0.95655,0.98734,0.83617,0.64949,0.37102,0.79227,0.0007525,0.0007525,0.0007525
27,954.16,0.7875,0.41636,0.79492,0.95825,0.95966,0.98769,0.84325,0.64059,0.36532,0.79283,0.0007426,0.0007426,0.0007426
